property_id,type,description,list_price,last_sold_price,sqft,stories,beds,baths,garage,zip_code,city
NY000011NI1C,single_family,"Presenting an exceptional estate in the prestigious Sage Estates of Menands New York--one of the Capital Region's only private gated communities, complete with its own private tennis court. Set on over 2 secluded acres, this fully turnkey residence offers 5 bedrooms and 8 bathrooms with a seamless blend of space, design, and modern upgrades. Recent improvements include freshly painted interiors, updated flooring, and a redesigned chef's kitchen featuring custom cabinetry and a butler's pantry. The fully finished basement adds another level of living and entertaining, highlighted by a brand new custom bar. A standout feature is the newly constructed pool house built in 2022, complete with a full bathroom, fitness space, and its own 2-car garage, while the main residence offers a 3-car attached garage--bringing the total to 5 garage spaces. Outdoors, enjoy true resort-style living with an in-ground pool featuring a built-in sound system, an expansive patio with a fire pit, and beautifully landscaped grounds designed for entertaining. Located in the highly desirable North Colonie School District and just minutes from Albany, this home offers a rare combination of privacy, luxury, and convenience--an offering that truly stands apart.",2200000,2200000,7000,0,5,8,5,12204,Menands
NY000012SN13,single_family,"Charming 4-bedroom Colonial in the desirable Seelye Estates neighborhood, located in the Burnt Hills-Ballston Lake School District. This well-designed home features hardwood floors, granite countertops, a breakfast bar, and elegant details like raised panel molding. Enjoy a finished basement, first-floor laundry, and a 2-car attached garage. Step outside to a spacious composite deck and patio with firepit--perfect for entertaining. Conveniently located a close distance to schools and the library. A must-see!",699000,710000,2550,0,4,3,2,12027,Burnt Hills
NY000013Z0Q5,multi_family,"This Queen Ann style home is a 2-family detached 3-bedroom duplex over a 3-bedroom duplex. The sellers are pleased to offer 2 generations of family love throughout every detail including the marble and limestone/heated flooring and a custom Mahogany Chef's kitchen boasting Wolf, Miele and Bosch appliances. Two master suites with a spa like bathroom, walk in closets and a large terrace overlooking the Villa style backyard. There are a total of 5 full bathrooms, a finished basement and a circular staircase. Outdoor pavers, private driveway & more!",1649000,1600000,3500,2,6,5,0,11234,Brooklyn
NY000014XYC9,single_family,"Welcome to [Redacted Address]. an inviting home that blends comfort, convenience, and opportunity. This well maintained property offers 5 Bedrooms and spacious living areas, abundant natural light and a functional layout designed for everyday living and entertaining. Enjoy your spacious yard. conveniently located near shopping, dining, parks, and easy access to major highways. A must see.",439000,470000,3000,0,5,2,1,12203,Albany
NY0000157IJ3,single_family,"Come and fall in love with this beautiful 4-Bedroom Colonial featuring an income-generating apartment in Saugerties! Nestled in a sought-after area of Saugerties, this stunning 4-bedroom, 2.5-bath colonial home is situated on over an acre of lush, wooded grounds. Inside, you'll discover exquisite design features, including exposed wood beams, an authentic brick kitchen wall, and custom cabinets that combine sophistication with ample storage. The open floor plan boasts nine-foot ceilings, creating an airy and inviting atmosphere. The kitchen seamlessly connects to a cozy living area with a gas fireplace, while French doors open up to a spacious deck and patio-ideal for hosting gatherings in the picturesque backyard, complete with a dazzling pool and hot tub. Upstairs, you'll find four generously sized bedrooms and two full bathrooms, ensuring both comfort and privacy, along with a convenient laundry room. Plus, there's a charming half bath on the main level, perfect for guests! Above the three-car garage, there's a separate one-bedroom, one-bathroom apartment that has a strong track record of consistent Airbnb bookings, complete with its own private patio. Additional highlights include a stylish mudroom for keeping things organized, an unfinished basement with endless potential, and a lovely covered front porch. This home is just minutes from the vibrant communities of Saugerties and Woodstock, with easy access to outdoor activities like skiing, kayaking, and hiking. This property is a tranquil retreat waiting to welcome you-don't miss the chance to make it your own!",959000,934000,4000,2,5,4,3,12477,Saugerties
NY0000163Z9Q,single_family,"Perched high on Gilchrist hill with commanding 270 degrees views, this beautiful home offers an ever-changing panorama of sunlight and sunsets. The property sits privately surrounded by nature on almost 2 acres, yet is designed for entertaining and relaxation. A massive 740sf wraparound deck provides the perfect vantage point to take in the sweeping countryside and mountain views. Enjoy summer days by the in-ground pool and patio area, or unwind in the spacious interior featuring an open-concept living and dining space that captures the scenery through large windows. The living room offers the warmth of a fireplace while the downstairs family room offers the efficiency of a wood stove. Two oversized bedrooms on each floor could each serve as a primary bedroom, offering flexibility and comfort for guests or multi-generational living. The detached two car garage adds convenience and storage. If you've been searching for a peaceful country setting with modern comfort and year-round natural beauty, this property delivers unlike anything else. Welcome home.",449900,340000,1440,0,4,2,2,12838,Hartford
NY0000177RBM,single_family,"Enjoy the perfect blend of privacy, space, and convenience with this well-maintained ranch set on 4 beautiful acres in the Cobleskill/Richmondville School District. Ideally located with quick access to I-88, commuting to Albany or Schenectady is easy while still enjoying the peaceful feel of country living. Inside, beautiful hardwood floors add to the warm and spacious layout, highlighted by a large eat-in kitchen that provides plenty of room for cooking, gathering, and everyday living. One of this home's most inviting features is the bright, oversized sunroom with a cozy fireplace, creating the perfect place to relax, host friends, or enjoy the changing seasons year-round. Step outside from the sunroom onto the expansive back deck, an ideal setting for summer barbecues, morning coffee, or quiet evenings overlooking the private surrounding acreage. The finished basement adds valuable living space, perfect for a family room, game room, home office, or guest area. A large, functional laundry room offers added convenience and storage. With a brand new roof and plenty of space both inside and out, this property offers the best of country living while remaining just minutes from town amenities and major highways.",280000,295000,1344,0,3,2,1,12149,Richmondville
NY00001893AR,single_family,"Historic 1890 eyebrow colonial on a Double lot with a large barn/garage featuring a second story with space for a workshop for yourself or your small business. Ideal also for RV owners- there is 50 amp electric and sewer connections already in place for your RV when you are not traveling, when you need extra space for guests, or if you have family or friends that like to spend time in the area! Many original features including hardwood floors, moldings and interior glass doors; this home has also been thoughtfully updated with a new roof, new windows, newer furnace, and upgraded electric. New Roof; shingles 2020, porch roof 2022; 200 amp electric service, 50 amp in garage, Septic new in 2005- pumped in August 2025. New furnace 2011.",229900,227400,1321,0,3,1,2,12865,Salem
NY000019AM17,multi_family,"Move in Ready, Detached 2 Family Brick Home for sale in Bergen Beach. This massive corner house is 21 ft wide by 60 ft long on a 32 ft by 100 ft lot. The current layout is as follows: The 2nd floor has 3 Bedrooms, Living Room with balcony, Dining Area, Kitchen & 2 Bathrooms. The 1st Floor has 3 Bedrooms, Living Room, Dining Area, Kitchen, & 2 Bathrooms. The Finished basement with separate entrance has a Utility room, Laundry area, Recreational Space, Wet bar, 3 Bonus Rooms, and a Full Bathroom. This house features Modern Kitchens, Modern Bathrooms, En Suite Bathrooms, Private Driveway, Outdoor Pavers, Gazebo, 2 Separate Heating Units, Bonus Rooms, Split System HVAC units, Good Basement Ceiling Height, 2 Separate Basement Entrances, Balcony, Great Outdoor space and many more. Conveniently located near shopping, restaurants, schools, parks, places of worship and public transportation. This one checks off ALL the boxes. Come take a look for yourself.",1375000,1400000,3780,2,6,5,0,11234,Brooklyn
NY000020CBGK,single_family,"Multiple Offers- Highest and best due by 5/1 at noon. Cute as a button, 2 BR Ranch w/wonderful updates and amenities for you to enjoy. Featuring Kitchen w/ new white cabinets, granite counters, new s/s refrigerator and dishwasher. Front stone walkway and patio. Living room w/fireplace, HW Floors, & large picture window that captures the stunning backyard, lot 100'x200'. Kitchen expands to spacious dining area and the access to enclosed back porch w/large windows and access to deck. Take a look, you'll never want to leave! Easy to show!",274900,305000,989,0,2,1,1,12303,Schenectady
NY000021E6ED,single_family,"Welcome to [Redacted Address]! This Old Style home has Georgian features on the exterior and lovely details inside such as crown molding, built-in bookcases in the living room, plus built-in glass covered cabinets in the dining room, and a stunning mahogany stair railing that runs from the second floor all the way down to the basement level. A Dutch door is the main front entrance into the foyer leading to the living room. French doors from the living room exit to the outdoor flagstone patio overlooking the generous 1/2 acre lot, perhaps a future home for a pool or area for recreation? The eat-in kitchen has been opened into the dining room so that the sink and prep area look into the dining room. Attached to the kitchen is a foyer leading to the garage with another front door located there. Completing the first floor is a bedroom and full bath. Downstairs is a knotty pine game room that has been used for extra overnight guests as well. Washer and dryer are located in the basement along with the mechanicals. Upstairs are two generous sized bedrooms. The primary has a fireplace which has been converted to gas, as has the one in the living room. A ceramic tiled bathroom completes the second floor. Close to amenities on Hoosick Rd, while located in a suburban neighborhood with Troy Country Club nearby. There is proximity to Grafton Lakes State Park and the Berkshires to the East within 30-40 minutes and only 15-20 minutes from Albany and all of its amenities and sights.",389000,400000,1648,0,3,2,2,12180,Troy
NY000022MFF0,condo,"Situated in the sought-after Burnt Hills School District, this 3-bedroom, 2-bath condo offers a seamless blend of comfort and low-maintenance living. The open floor plan is ideal for everyday living and entertaining, featuring luxury vinyl plank flooring, vaulted ceilings, and modern two-panel interior doors throughout. The living area is highlighted by a tiled gas fireplace. A sun-filled flex space adds versatility--perfect for a home office, playroom, or studio. The spacious primary suite includes a large walk-in closet for added convenience, and separate water closet with walk-in shower. Two generously sized bedrooms in addition to the primary. Enjoy the outdoors from your private composite deck, surrounded by peaceful, tree-lined views. The HOA covers exterior structure, lawn care, and snow removal, providing a truly easy lifestyle. With thoughtful updates and a prime location, this home is not to be missed. Close to schools, shopping, Spac and so much more.",369900,390000,1736,0,3,2,1,12020,Ballston Spa
NY000023HUAL,single_family,"Beautiful Victorian house on a corner lot in Historic Johnstown with 4 bedrooms and 2.5 bathrooms. This house has all of the exquisite details that come with a Victorian, starting with the grand oak staircase, unique hardware on the doors, oak pocket doors and trim, and tin ceilings. There is a formal living room with a gas fireplace but also a casual living room with barn wood walls and a wood burning fireplace. The dining room is very spacious and can be closed off from kitchen and living room with pocket doors. V Current owners have replaced the wiring and breaker boxes. The roof has also been replaced in recent years. There is a new hot water heater added within the last couple of weeks. Steam radiators throughout keep the house cozy and warm. The house is close to downtown Johnstown and amenities along State Hwy 30. There are cameras by the front door and the back family room.",215000,215000,2856,0,4,3,2,12095,Johnstown
NY000024ECY0,single_family,"Welcome to [Redacted Address], a fabulous 3-bedroom, 2.5-bath Colonial located on a corner lot in the popular Enclave neighborhood. Ideally situated near Maple Ridge Park, Jericho Drive-In, and just a short drive to Elm Ave Park, this home offers both convenience and a serene setting. A unique highlight is the school district line running through the property, giving new owners the choice of either Bethlehem or Ravena-Coeymans-Selkirk (RCS) schools. The beautifully maintained, fully fenced yard is perfect for entertaining and everyday enjoyment, featuring a spacious deck and a large shed--ideal for games, gatherings, or relaxing outdoors. Inside, the home offers a bright, open layout with generous living spaces. The kitchen with eat -in area flows seamlessly into the family room and front room with custom built-ins--perfect as a play room or home office. The first floor also includes a formal dining room, a convenient laundry room and a half bath, all filled with natural light. Upstairs are two generously sized bedrooms, the main bath, and the spacious front-to-back primary suite featuring a walk-in closet and a private en-suite bath. The heated, finished basement adds valuable flexible space for a gym, recreation room, or additional storage. A nice bonus is the Bilco door, providing a second egress and easy access for equipment and storage. All major systems have been recently updated, including the roof, heating and cooling systems, and hot water heater--offering peace of mind for years to come. This home delivers on all fronts- house, lot and location!",519900,575000,1906,0,3,3,2,12158,Selkirk
NY00002545MK,multi_family,"Welcome to [Redacted Address], a legal two-family home featuring two 3-bedroom apartments, each with a primary suite with a private bathroom. The finished basement includes glass sliding doors to the backyard and a full bathroom. This home is loaded with custom builder upgrades, including modern kitchens, luxurious bathrooms, hardwood floors throughout, and tile flooring in the basement. Conveniently located near public transportation and just minutes from the Verrazano Bridge.",1099999,1050000,2016,2,6,7,0,10305,Staten Island
NY000026PFFO,single_family,"Back on Market due to Buyer Financing! Welcome to this beautifully maintained 4-bedroom, 3-bathroom home offering 2,870 square feet of living space, situated on nearly 4 acres. Located in the highly rated Voorheesville School District, this property combines privacy, space, and top-tier education in one incredible package. An added bonus is the OWNED Solar system which comes with the house! Inside, you'll find a well-designed layout ideal for both everyday living and entertaining. The generous living areas feature abundant natural light, while the spacious kitchen provides plenty of room for cooking and gathering. Each of the four bedrooms offers comfort and flexibility, including a primary suite with its own private bath. Don't miss your chance to own a home that offers space and seclusion in a prime location! Price has been reduced to reflect a credit for Appliances & Flooring.",499900,510000,2870,0,4,3,2,12186,Voorheesville
NY0000275373,condo,"Welcome to [Redacted Address] - a beautifully maintained 2-bedroom condo nestled in the heart of New Springville. This bright and inviting home offers a comfortable layout with generous living space, perfect for both relaxation and entertaining. The open living/dining area flows seamlessly to a well-kept kitchen, while large windows fill the home with natural light throughout the day. Both bedrooms are well-sized with ample closet space, ideal for those seeking convenience without compromise. Additional features include access to community amenities that enhance everyday living such as a beautiful in-ground summer pool for friends and family to enjoy, as well as private storage and a shared yard. Centrally located near shopping, restaurants, parks, and major transportation, this condo provides the perfect blend of privacy and accessibility. Whether you're a first-time buyer, downsizer, or investor, this home presents an excellent opportunity to own in one of Staten Island's most desirable neighborhoods. Don't miss your chance to see this charming New Springville gem!",489000,486500,1232,2,2,2,0,10314,Staten Island
NY00002845EF,multi_family,"Opportunity awaits with this two-family home offering approximately 2,244 square feet of living space. Whether you are looking to build your investment portfolio or occupy one unit while generating rental income from the other, this property offers flexibility and potential. Interior features include hardwood floors, ceramic tile, and vinyl flooring. The slate roof and new chimney add to the property's overall condition. Two porches provide inviting outdoor spaces, and the backyard offers room to enjoy seasonal gatherings, gardening, or everyday relaxation. Separate utilities. One unit currently occupied; second unit available May 1, 2026, creating options for investors or future owner occupancy. Conveniently located within walking distance to supermarket, drug store, and Dunkin' Donuts, with easy access to daily amenities. Pictures are of empty apartments. Video link apt 1 Pre Tenants",229000,231540,2244,0,4,2,0,12182,Troy
NY000029RFLX,multi_family,"Rare-find semi-detached 3-family brick home with shared driveway in prime Bensonhurst! This 3-story home above ground with a full finished basement features oversized 2-bedroom apartments on each floor, each easily convertible into 3 bedrooms-offering 6 bedrooms with potential for 9, along with 4 full bathrooms. Building size is 20x55' on a 24x100' lot, perfectly situated in one of the most desirable neighborhoods. A truly fantastic opportunity with tremendous potential-Won't Last!",2140000,1950000,3300,3,6,4,0,11204,Brooklyn
NY0000306UV2,single_family,"Don't miss this unique opportunity in Wynantskill, located in the Town of North Greenbush. Situated on a rare double lot totaling approximately half an acre, this property offers space, flexibility, and potential that is hard [Redacted Entity] at his price point. This home features 3 bedrooms with the possibility of a 4th, along with a layout that offers generously sized bedrooms--uncommon for a home of this era--and a warm, rustic charm throughout. Many updates have already been completed, providing a solid starting point for the next owner to make it their own. A truly distinctive feature of this property is the thick concrete-structured bomb shelter located beneath the home, providing a unique space that could serve as a workshop, studio, or secure storage area. The spacious basement expands the living potential even further, offering a bonus room ideal for a home office, guest space, or additional living area. The exterior offers ample room to enjoy the outdoors, entertain, garden, or explore future possibilities, all while being conveniently located near Albany, Regeneron, and major commuting routes. This property presents an excellent opportunity for buyers looking to gain value and build equity.",229000,235000,1154,0,3,1,0,12198,Wynantskill
NY000031BM46,single_family,"Welcome to this beautiful single family detached home built in 2013 that's located in the convenient area of Graniteville. This home features: 1st Flr. Kitchen with granite countertops, SS/appliances & custom backsplash, 1/2 bath, living/dining room combo, stairs to basement & access to yard. 2nd Flr: King size primary bedroom suite with walk in closet & private full bath. 3rd Flr: 2 large bedrooms & full bath. Full finished basement with family room, washer/dryer, & utilities. Hardwood floors throughout. Large shed for storage. Off & on street parking. Located near public transportation, HWY 278, shopping & restaurants.",699999,725000,1140,3,3,3,0,10314,Staten Island
NY00003230CV,single_family,"Nestled in a highly sought-after beach community on the Peconic Bay, this lovely, bright, and cheerful home on a very quiet road features 3 bedrooms, 2.5 baths, an open kitchen with a dining area, and a living room with a double-height ceiling. Additionally, there is a loft that is well-suited for an office, library/lounge, or space for extra overnight guests. The primary suite on the main floor includes a recently updated bath. The outdoor area is designed for entertaining. An expansive two-level deck surrounds the 18'x40' heated pool; mature landscaping adds privacy. Other extras include new kitchen appliances, a new washer-dryer, a garage, a generator, and an outdoor hot and cold shower. This home provides enormous potential for investors or end users, with room for an additional 1, 500 +/- sq. ft. of living space within the existing footprint. The lower-level's ceiling height is sufficient for finishing and can add another 1, 100 +/- sq. ft. of living space. There is a bilco door access that easily converts to the required egress when adding lower-level bedrooms. There is also room to expand the house on the second floor by building above the dining room and kitchen. Add a generously sized primary suite or two additional bedrooms and a bath. Situated on a little more than .75 of an acre, there are expansion options beyond the existing footprint. This quiet and special community offers tennis, pickleball, private bay beach with a dedicated swimming area, volleyball, kayak storage, a beach house for your convenience, and sunsets that will captivate you. The location is excellent, offering easy access to Southampton, Bridgehampton, and Sag Harbor within 15 minutes, and just a few extra minutes to the heart of East Hampton. The original owner loved and cared for it since it was built. It's now ready for its next occupants. Special bonus: very low taxes!",1875000,1655000,1642,2,3,3,1,11968,Southampton
NY000033M61A,single_family,"Welcome to this wonderful 3-bedroom, 4-bathroom home perfectly situated in one of Staten Islands most desirable neighborhoods. Step inside to find a spacious layout with gleaming hardwood floors, a bright living area, and a modern kitchen designed for both style and functionality. The fully finished basement offers additional space - ideal for a family room, gym, or guest suite. Outside, enjoy a low-maintenance yard with pavers throughout and a sparkling pool, perfect for relaxing or entertaining. With private parking, a lovely front porch, and close proximity to schools, shopping, and transportation, this home truly has it all. Move right in and start enjoying the lifestyle you've been looking for!",779999,760000,1560,2,3,4,0,10308,Staten Island
NY000034C7LX,condo,"This beautiful 1 Bedroom (Convertible 2 bedroom or Office/Den) Loft Condo in Bay Ridge is now for Sale! Equipped with High End Stainless Steele Appliances, Marble Countertops, an In-Unit Laundry Area, and a Spacious Living Room with doors leading to a beautiful outdoor Terrace. A winding staircase takes you upstairs to the Loft Area that can be used as a Bedroom or Office with Large Closet. Transportation consists of the R train as well as the B8 and B1. Close to lots of Shopping and Entertainment in the Heart of Bay Ridge! Required Down payment set by board is 20%.",558000,552420,751,0,1,1,0,11209,Brooklyn
NY000035RRHX,single_family,"Opportunity awaits as this beautifully newly remodeled 3 bedroom 1.5 bath Schodack home with water views hits the market! This home features a gorgeous renovated kitchen with granite countertops and stainless steel appliances, cozy living room and dining room with recessed lighting and crown molding, spacious entry with French doors, renovated bathrooms with full bath having sharp porcelain tile floors, primary bedroom with walk in closet! Outside features include impressive covered side porch, shed and garage! Other remodeled items include all flooring, some new windows, some plumbing, hot water tank and pump, lighting, new appliances, new grading, freshly painted! This is an absolute must see!",239900,240000,1440,0,3,2,1,12156,Schodack Landing
NY000036XTGZ,multi_family,"Spacious two-family home located on a quiet residential block in Dongan Hills. The property offers exceptional outdoor space, a large private driveway with parking for multiple vehicles, and flexible living arrangements suitable for owner occupancy or multi-generational use. The main residence spans multiple levels and features a generous living room, eat-in kitchen, bedrooms, and full bathroom. A full basement includes a family room, kitchen area, bathroom, and storage, offering additional usable space. The second unit offers a living room, separate kitchen, bedroom, full bathroom, and private entrance. An additional half-story loft area above the second unit provides extra usable space, suitable for storage, office, or recreational use. The home sits on a deep lot with a rear yard, deck, and storage sheds. Conveniently located near the Staten Island Railway, Richmond Road, Hylan Boulevard, and the Verrazzano-Narrows Bridge, with access to shopping, dining, parks, and East Shore beaches. Sizes and dimensions are approximate. Some photos may have been virtually cleaned and/or virtually staged.",825000,825000,1711,0,3,3,0,10304,Staten Island
NY000037T0NP,single_family,"Nestled in a private block in this impressive 10 room, 4,400 sq ft on 120x100 property Center hall colonial. Enter into a 2 story entry w/sweeping stairs to 2nd flr, large living room with high ceilings with a wood burning fireplace, dining room, eat in kitchen with sliding doors to sunroom and inground pool and summer house, master bedroom with 3/4 bathroom, bedroom, bedroom, full bathroom, 1 floor: living room, bedroom full bathroom with jacuzzi family room with bar and door to yard, built in garage utility room... and extra summer house... close to vz bridge exs buses and shopping...",1290000,1285000,4400,2,4,3,1,10305,Staten Island
NY0000389TZT,multi_family,Welcome to [Redacted Address] spacious end unit two family townhouse with hardwood floors throughout newer stainless-steel appliances in main unit. Primary bedroom has separate 3/4 bath plus two additional large bedrooms. Both hot water heaters less then 5 years of age. Central air!! Apartment is a queen size bedroom fully tiled apartment!! Located in heart of Tottenville.,849999,840000,1512,2,4,5,1,10307,Ny
NY000039N3ZS,single_family,"Welcome to this tastefully updated 3-bedroom, 2 full bath ranch, ideally located just minutes from Center Street in the highly desirable Village of Lewiston. Situated on a quiet dead-end street, this home offers added privacy with minimal traffic, making it a peaceful retreat. Step inside to find fresh paint throughout and new luxury vinyl flooring in the hallway and kitchen. All 3 bedrooms and the dining room feature original hardwoods, while new interior six-panel doors add a crisp, updated touch throughout the home. The gorgeous fully remodeled main bathroom adds modern style and functionality, while updated electrical provides peace of mind. The primary suite includes its own updated full bath, and ample closet space throughout the home ensures plenty of storage. Enjoy additional living space in the bright and inviting 3-season room-perfect for relaxing or entertaining. The poured basement offers excellent potential for even more finished square footage, whether you're looking to create a rec room, home gym, or office. Exterior updates include a newer roof, gutters, and a welcoming front porch that enhances the home's curb appeal. A 2 car attached garage adds convenience and practicality. Located in a sought-after neighborhood close to shops, dining, and all the charm Lewiston has to offer, this move-in ready home is a must-see!",279900,320000,1306,1,3,2,2,14092,Lewiston
NY00004086KL,single_family,"Waterfront Ranch on 1.3+ Acres and 230 ft of canal frontage.Discover the perfect blend of privacy, space, and rare waterfront access with this beautiful ranch-style home set on over 1.3 acres in the heart of the Finger Lakes.Featuring an impressive 230 feet of serene canal frontage, this property is a dream for boaters and waterfront lovers alike. Launch your boat right from your backyard and enjoy miles of scenic cruising in fact, from here, you can travel all the way to Key West by water thanks to direct access to the Erie Canal system and beyond!Commercial zoning adds a layer of open possibilities",399900,250000,2024,1,3,2,0,13148,Seneca Falls
NY000041MY8F,single_family,"Welcome to [Redacted Address], a well-maintained and nicely updated 3-bedroom, 1-bath home tucked away on a quiet street in the heart of Cheektowaga! This move-in ready property offers the perfect mix of comfort, updates, and extra living space-ideal for both everyday living and entertaining. Inside, you'll find an inviting layout featuring an updated kitchen with great functionality and a clean, modern feel. The updated full bathroom, along with updated flooring and carpeting, gives the home a fresh look throughout. Major mechanics are in great shape too, with a roof that's only 5 years old, providing peace of mind for the next homeowner. Downstairs, enjoy a partially finished lower level that creates the perfect bonus hangout area-great for family gatherings, parties, watching Bills games, movie nights, or hosting friends. Whether you want a cozy lounge space, game room, or extra entertaining area, this lower level adds valuable flexibility. With tasteful updates, extra space, and a desirable location, [Redacted Address] is a fantastic opportunity you won't want to miss. Accepting and reviewing offers as received.",254900,257000,1494,1,3,1,1,14227,Buffalo
